Model,Validation Accuracy,Test Accuracy
DNN,0.7868852615356445,0.8852459016393442
RandomForest,0.7704918032786885,
TabNet,0.7540983606557377,
LogisticRegression,0.7377049180327869,
MLP,0.7049180327868853,
